pokemon,id,form,rank,ability,raito
ベトベトン,89,0,2,どくしゅ,31.4
ベトベトン,89,0,3,あくしゅう,2.8
ベトベトン,89,1,1,どくしゅ,88.9
ベトベトン,89,1,2,くいしんぼう,10.7
ベトベトン,89,1,3,かがくのちから,0.3
シェルダー,90,0,1,シェルアーマー,96.2
シェルダー,90,0,2,スキルリンク,3.8
パルシェン,91,0,1,スキルリンク,94.6
パルシェン,91,0,2,シェルアーマー,3.7
パルシェン,91,0,3,ぼうじん,1.6
ゴース,92,0,1,ふゆう,100.0
ゴースト,93,0,1,ふゆう,100.0
ゲンガー,94,0,1,のろわれボディ,100.0
スリープ,96,0,1,ふみん,93.0
スリープ,96,0,2,よちむ,7.0
スリーパー,97,0,1,ふみん,87.0
スリーパー,97,0,2,せいしんりょく,8.9
スリーパー,97,0,3,よちむ,4.1
ビリリダマ,100,0,1,ぼうおん,75.0
ビリリダマ,100,0,2,ゆうばく,25.0
ビリリダマ,100,1,1,ぼうおん,100.0
マルマイン,101,0,1,ぼうおん,35.3
マルマイン,101,0,2,ゆうばく,32.6
マルマイン,101,0,3,せいでんき,32.1
マルマイン,101,1,1,ぼうおん,34.4
マルマイン,101,1,2,ゆうばく,33.2
マルマイン,101,1,3,せいでんき,32.4
ラッキー,113,0,1,しぜんかいふく,94.8
ラッキー,113,0,2,てんのめぐみ,4.4
ラッキー,113,0,3,いやしのこころ,0.8
ストライク,123,0,1,テクニシャン,91.1
ストライク,123,0,2,ふくつのこころ,5.8
ストライク,123,0,3,むしのしらせ,3.1
ケンタロス,128,0,1,ちからずく,72.9
ケンタロス,128,0,2,いかく,22.1
ケンタロス,128,0,3,いかりのつぼ,4.9
ケンタロス,128,1,1,いかく,75.3
ケンタロス,128,1,2,いかりのつぼ,14.2
ケンタロス,128,1,3,はんすう,10.5
ケンタロス,128,2,1,いかく,90.2
ケンタロス,128,2,2,はんすう,5.2
ケンタロス,128,2,3,いかりのつぼ,4.5
ケンタロス,128,3,1,いかく,56.5
ケンタロス,128,3,2,いかりのつぼ,39.0
ケンタロス,128,3,3,はんすう,4.5
コイキング,129,0,1,すいすい,100.0
ギャラドス,130,0,1,いかく,91.4
ギャラドス,130,0,2,じしんかじょう,8.6
メタモン,132,0,1,かわりもの,100.0
メタモン,132,0,2,じゅうなん,0.0
イーブイ,133,0,1,てきおうりょく,94.7
イーブイ,133,0,2,きけんよち,4.6
イーブイ,133,0,3,にげあし,0.8
シャワーズ,134,0,1,ちょすい,96.5
シャワーズ,134,0,2,うるおいボディ,3.5
サンダース,135,0,1,ちくでん,69.9
サンダース,135,0,2,はやあし,30.1
ブースター,136,0,1,もらいび,66.9
ブースター,136,0,2,こんじょう,33.1
フリーザー,144,0,1,プレッシャー,61.4
フリーザー,144,0,2,ゆきがくれ,38.6
フリーザー,144,1,1,かちき,100.0
サンダー,145,0,1,せいでんき,96.0
サンダー,145,0,2,プレッシャー,4.0
サンダー,145,1,1,まけんき,100.0
ファイヤー,146,0,1,ほのおのからだ,78.4
ファイヤー,146,0,2,プレッシャー,21.6
ファイヤー,146,1,1,ぎゃくじょう,100.0
ミニリュウ,147,0,1,だっぴ,75.0
ミニリュウ,147,0,2,ふしぎなうろこ,25.0
ハクリュー,148,0,1,だっぴ,81.3
ハクリュー,148,0,2,ふしぎなうろこ,18.8
カイリュー,149,0,1,マルチスケイル,99.5
カイリュー,149,0,2,せいしんりょく,0.5
ヒノアラシ,155,0,1,もうか,80.0
ヒノアラシ,155,0,2,もらいび,20.0
マグマラシ,156,0,1,もらいび,59.4
マグマラシ,156,0,2,もうか,40.6
バクフーン,157,0,1,もらいび,80.3
バクフーン,157,0,2,もうか,19.7
バクフーン,157,1,1,おみとおし,80.5
バクフーン,157,1,2,もうか,19.5
ピチュー,172,0,1,せいでんき,91.9
ピチュー,172,0,2,ひらいしん,8.1
ププリン,174,0,1,かちき,100.0
メリープ,179,0,1,せいでんき,100.0
モココ,180,0,1,せいでんき,60.0
モココ,180,0,2,プラス,40.0
デンリュウ,181,0,1,せいでんき,97.5
デンリュウ,181,0,2,プラス,2.5
マリル,183,0,1,ちからもち,91.1
マリル,183,0,2,あついしぼう,5.4
マリル,183,0,3,そうしょく,3.6
マリルリ,184,0,1,ちからもち,98.3
マリルリ,184,0,2,そうしょく,1.3
マリルリ,184,0,3,あついしぼう,0.4
ウソッキー,185,0,1,がんじょう,69.4
ウソッキー,185,0,2,いしあたま,30.6
ハネッコ,187,0,1,ようりょくそ,73.1
ハネッコ,187,0,2,リーフガード,23.1
ハネッコ,187,0,3,すりぬけ,3.8
ポポッコ,188,0,1,すりぬけ,87.0
ポポッコ,188,0,2,リーフガード,12.7
ポポッコ,188,0,3,ようりょくそ,0.3
ワタッコ,189,0,1,すりぬけ,76.6
ワタッコ,189,0,2,ようりょくそ,15.6
ワタッコ,189,0,3,リーフガード,7.8
ヒマナッツ,191,0,1,ようりょくそ,83.7
ヒマナッツ,191,0,2,サンパワー,16.3
キマワリ,192,0,1,サンパワー,92.9
キマワリ,192,0,2,ようりょくそ,6.0
キマワリ,192,0,3,はやおき,1.1
ウパー,194,0,1,ちょすい,94.4
ウパー,194,0,2,てんねん,5.6
ウパー,194,1,1,ちょすい,100.0
ヌオー,195,0,1,てんねん,53.1
ヌオー,195,0,2,ちょすい,46.5
ヌオー,195,0,3,しめりけ,0.3
エーフィ,196,0,1,マジックミラー,98.9
エーフィ,196,0,2,シンクロ,1.1
ブラッキー,197,0,1,せいしんりょく,65.9
ブラッキー,197,0,2,シンクロ,34.1
ヤミカラス,198,0,1,いたずらごころ,97.8
ヤミカラス,198,0,2,きょううん,1.2
ヤミカラス,198,0,3,ふみん,1.0
ヤドキング,199,0,1,さいせいりょく,85.7
ヤドキング,199,0,2,どんかん,13.5
ヤドキング,199,0,3,マイペース,0.8
ヤドキング,199,1,1,さいせいりょく,99.4
ヤドキング,199,1,2,マイペース,0.4
ヤドキング,199,1,3,きみょうなくすり,0.3
ムウマ,200,0,1,ふゆう,100.0
キリンリキ,203,0,1,はやおき,63.2
キリンリキ,203,0,2,そうしょく,21.1
キリンリキ,203,0,3,せいしんりょく,15.8
クヌギダマ,204,0,1,がんじょう,86.4
クヌギダマ,204,0,2,ぼうじん,13.6
フォレトス,205,0,1,がんじょう,82.6
フォレトス,205,0,2,ぼうじん,17.4
ノコッチ,206,0,1,びびり,53.7
ノコッチ,206,0,2,てんのめぐみ,41.4
ノコッチ,206,0,3,にげあし,4.8
ハリーセン,211,0,1,いかく,83.8
ハリーセン,211,0,2,すいすい,13.2
ハリーセン,211,0,3,どくのトゲ,3.0
ハリーセン,211,1,1,いかく,95.5
ハリーセン,211,1,2,すいすい,3.0
ハリーセン,211,1,3,どくのトゲ,1.5
ハッサム,212,0,1,テクニシャン,99.4
ハッサム,212,0,2,むしのしらせ,0.4
ハッサム,212,0,3,ライトメタル,0.2
ヘラクロス,214,0,1,じしんかじょう,58.1
ヘラクロス,214,0,2,こんじょう,41.3
ヘラクロス,214,0,3,むしのしらせ,0.7
ニューラ,215,0,1,せいしんりょく,64.1
ニューラ,215,0,2,するどいめ,23.1
ニューラ,215,0,3,わるいてぐせ,12.8
ニューラ,215,1,1,せいしんりょく,61.9
ニューラ,215,1,2,するどいめ,19.0
ニューラ,215,1,3,わるいてぐせ,19.0
ヒメグマ,216,0,1,はやあし,66.7
ヒメグマ,216,0,2,ものひろい,33.3
リングマ,217,0,1,こんじょう,85.7
リングマ,217,0,2,はやあし,12.2
リングマ,217,0,3,きんちょうかん,2.1
デリバード,225,0,1,やるき,64.7
デリバード,225,0,2,ふみん,20.7
デリバード,225,0,3,はりきり,14.6
デルビル,228,0,1,もらいび,82.4
デルビル,228,0,2,はやおき,17.6
ヘルガー,229,0,1,もらいび,91.2
ヘルガー,229,0,2,はやおき,6.5
ヘルガー,229,0,3,きんちょうかん,2.3
ゴマゾウ,231,0,1,ものひろい,56.7
ゴマゾウ,231,0,2,すながくれ,43.3
ドンファン,232,0,1,がんじょう,99.9
ドンファン,232,0,2,すながくれ,0.1
オドシシ,234,0,1,そうしょく,51.1
オドシシ,234,0,2,いかく,43.2
オドシシ,234,0,3,おみとおし,5.7
ハピナス,242,0,1,しぜんかいふく,54.8
ハピナス,242,0,2,てんのめぐみ,43.8
ハピナス,242,0,3,いやしのこころ,1.4
ヨーギラス,246,0,1,こんじょう,100.0
サナギラス,247,0,1,だっぴ,100.0
バンギラス,248,0,1,すなおこし,99.4
バンギラス,248,0,2,きんちょうかん,0.6
キャモメ,278,0,1,するどいめ,100.0
ペリッパー,279,0,1,あめふらし,99.8
ペリッパー,279,0,2,するどいめ,0.1
ペリッパー,279,0,3,あめうけざら,0.1
ラルトス,280,0,1,シンクロ,51.4
ラルトス,280,0,2,トレース,48.6
キルリア,281,0,1,トレース,82.1
キルリア,281,0,2,シンクロ,17.9
サーナイト,282,0,1,トレース,96.3
サーナイト,282,0,2,シンクロ,3.5
サーナイト,282,0,3,テレパシー,0.2
アメタマ,283,0,1,すいすい,100.0
アメモース,284,0,1,いかく,99.9
アメモース,284,0,2,きんちょうかん,0.1
キノココ,285,0,1,はやあし,69.4
キノココ,285,0,2,ポイズンヒール,30.6
キノガッサ,286,0,1,テクニシャン,88.5
キノガッサ,286,0,2,ポイズンヒール,11.2
キノガッサ,286,0,3,ほうし,0.3
ヤルキモノ,288,0,1,やるき,100.0
ケッキング,289,0,1,なまけ,100.0
マクノシタ,296,0,1,こんじょう,52.4
マクノシタ,296,0,2,あついしぼう,47.6
ハリテヤマ,297,0,1,こんじょう,52.1
ハリテヤマ,297,0,2,あついしぼう,47.2
ハリテヤマ,297,0,3,ちからずく,0.7
ルリリ,298,0,1,ちからもち,60.0
ルリリ,298,0,2,あついしぼう,40.0
ヤミラミ,302,0,1,いたずらごころ,98.3
ヤミラミ,302,0,2,あとだし,1.6
ヤミラミ,302,0,3,するどいめ,0.1
アサナン,307,0,1,ヨガパワー,100.0
チャーレム,308,0,1,ヨガパワー,100.0
ゴクリン,316,0,1,ねんちゃく,65.1
ゴクリン,316,0,2,ヘドロえき,20.6
ゴクリン,316,0,3,くいしんぼう,14.3
マルノーム,317,0,1,ねんちゃく,48.9
マルノーム,317,0,2,ヘドロえき,45.9
マルノーム,317,0,3,くいしんぼう,5.2
ドンメル,322,0,1,たんじゅん,92.1
ドンメル,322,0,2,どんかん,7.9
バクーダ,323,0,1,ハードロック,78.7
バクーダ,323,0,2,いかりのつぼ,17.8
バクーダ,323,0,3,マグマのよろい,3.5
コータス,324,0,1,ひでり,98.6
コータス,324,0,2,シェルアーマー,1.1
コータス,324,0,3,しろいけむり,0.3
バネブー,325,0,1,くいしんぼう,91.5
バネブー,325,0,2,あついしぼう,8.5
ブーピッグ,326,0,1,あついしぼう,94.7
ブーピッグ,326,0,2,くいしんぼう,2.7
ブーピッグ,326,0,3,マイペース,2.7
サボネア,331,0,1,すながくれ,78.9
サボネア,331,0,2,ちょすい,21.1
ノクタス,332,0,1,ちょすい,92.3
ノクタス,332,0,2,すながくれ,7.7
チルット,333,0,1,しぜんかいふく,100.0
チルタリス,334,0,1,しぜんかいふく,96.1
チルタリス,334,0,2,ノーてんき,3.9
ザングース,335,0,1,どくぼうそう,63.4
ザングース,335,0,2,めんえき,36.6
ハブネーク,336,0,1,すりぬけ,73.8
ハブネーク,336,0,2,だっぴ,26.2
ドジョッチ,339,0,1,どんかん,100.0
ナマズン,340,0,1,どんかん,64.8
ナマズン,340,0,2,きけんよち,22.6
ナマズン,340,0,3,うるおいボディ,12.6
カゲボウズ,353,0,1,おみとおし,100.0
ジュペッタ,354,0,1,ふみん,62.5
ジュペッタ,354,0,2,おみとおし,35.0
ジュペッタ,354,0,3,のろわれボディ,2.5
トロピウス,357,0,1,しゅうかく,99.1
トロピウス,357,0,2,ようりょくそ,0.7
トロピウス,357,0,3,サンパワー,0.2
ユキワラシ,361,0,1,ムラっけ,100.0
オニゴーリ,362,0,1,ムラっけ,99.6
オニゴーリ,362,0,2,アイスボディ,0.3
オニゴーリ,362,0,3,せいしんりょく,0.1
ラブカス,370,0,1,すいすい,100.0
タツベイ,371,0,1,ちからずく,100.0
コモルー,372,0,1,ぼうじん,91.5
コモルー,372,0,2,いしあたま,8.5
ボーマンダ,373,0,1,いかく,80.0
ボーマンダ,373,0,2,じしんかじょう,20.0
ムックル,396,0,1,すてみ,72.5
ムックル,396,0,2,するどいめ,27.5
ムクバード,397,0,1,いかく,100.0
ムクホーク,398,0,1,すてみ,74.6
ムクホーク,398,0,2,いかく,25.4
コロトック,402,0,1,テクニシャン,56.5
コロトック,402,0,2,むしのしらせ,43.5
コリンク,403,0,1,いかく,100.0
レントラー,405,0,1,いかく,79.1
レントラー,405,0,2,こんじょう,20.4
レントラー,405,0,3,とうそうしん,0.5
ミツハニー,415,0,1,はりきり,100.0
ビークイン,416,0,1,プレッシャー,93.0
ビークイン,416,0,2,きんちょうかん,7.0
パチリス,417,0,1,ちくでん,86.0
パチリス,417,0,2,ものひろい,11.1
パチリス,417,0,3,にげあし,2.9
ブイゼル,418,0,1,すいすい,100.0
フローゼル,419,0,1,すいすい,99.4
フローゼル,419,0,2,みずのベール,0.6
カラナクシ,422,0,1,ねんちゃく,66.1
カラナクシ,422,0,2,よびみず,33.9
トリトドン,423,0,1,よびみず,94.3
トリトドン,423,0,2,ねんちゃく,5.6
トリトドン,423,0,3,すなのちから,0.1
フワンテ,425,0,1,かるわざ,80.5
フワンテ,425,0,2,ゆうばく,10.4
フワンテ,425,0,3,ねつぼうそう,9.1
フワライド,426,0,1,かるわざ,88.1
フワライド,426,0,2,ゆうばく,6.3
フワライド,426,0,3,ねつぼうそう,5.6
ムウマージ,429,0,1,ふゆう,100.0
ドンカラス,430,0,1,じしんかじょう,43.8
ドンカラス,430,0,2,きょううん,39.1
ドンカラス,430,0,3,ふみん,17.1
スカタンク,435,0,1,ゆうばく,80.0
スカタンク,435,0,2,あくしゅう,19.4
スカタンク,435,0,3,するどいめ,0.6
ドーミラー,436,0,1,ふゆう,72.2
ドーミラー,436,0,2,たいねつ,27.8
ドータクン,437,0,1,ふゆう,80.5
ドータクン,437,0,2,たいねつ,18.8
ドータクン,437,0,3,ヘヴィメタル,0.7
ウソハチ,438,0,1,がんじょう,94.6
ウソハチ,438,0,2,びびり,5.4
ミカルゲ,442,0,1,すりぬけ,73.1
ミカルゲ,442,0,2,プレッシャー,26.9
フカマル,443,0,1,さめはだ,75.0
フカマル,443,0,2,すながくれ,25.0
ガバイト,444,0,1,さめはだ,100.0
ガブリアス,445,0,1,さめはだ,97.4
ガブリアス,445,0,2,すながくれ,2.6
リオル,447,0,1,いたずらごころ,99.5
リオル,447,0,2,ふくつのこころ,0.2
リオル,447,0,3,せいしんりょく,0.2
ルカリオ,448,0,1,せいしんりょく,84.5
ルカリオ,448,0,2,せいぎのこころ,9.1
ルカリオ,448,0,3,ふくつのこころ,6.4
ヒポポタス,449,0,1,すなおこし,100.0
カバルドン,450,0,1,すなおこし,99.2
カバルドン,450,0,2,すなのちから,0.8
グレッグル,453,0,1,かんそうはだ,100.0
ドクロッグ,454,0,1,かんそうはだ,98.0
ドクロッグ,454,0,2,どくしゅ,1.4
ドクロッグ,454,0,3,きけんよち,0.6
ケイコウオ,456,0,1,よびみず,100.0
ネオラント,457,0,1,よびみず,83.4
ネオラント,457,0,2,すいすい,16.6
ユキカブリ,459,0,1,ゆきふらし,100.0
ユキノオー,460,0,1,ゆきふらし,99.5
ユキノオー,460,0,2,ぼうおん,0.5
マニューラ,461,0,1,プレッシャー,64.7
マニューラ,461,0,2,わるいてぐせ,35.3
ジバコイル,462,0,1,アナライズ,70.2
ジバコイル,462,0,2,がんじょう,28.3
ジバコイル,462,0,3,じりょく,1.6
リーフィア,470,0,1,ようりょくそ,74.0
リーフィア,470,0,2,リーフガード,26.0
グレイシア,471,0,1,ゆきがくれ,73.8
グレイシア,471,0,2,アイスボディ,26.2
エルレイド,475,0,1,きれあじ,99.1
エルレイド,475,0,2,ふくつのこころ,0.6
エルレイド,475,0,3,せいぎのこころ,0.3
ユキメノコ,478,0,1,のろわれボディ,79.3
ユキメノコ,478,0,2,ゆきがくれ,20.7
ロトム,479,0,1,ふゆう,100.0
ロトム,479,1,1,ふゆう,100.0
ロトム,479,2,1,ふゆう,100.0
ロトム,479,3,1,ふゆう,100.0
ロトム,479,4,1,ふゆう,100.0
ロトム,479,5,1,ふゆう,100.0
ユクシー,480,0,1,ふゆう,100.0
エムリット,481,0,1,ふゆう,100.0
アグノム,482,0,1,ふゆう,100.0
ヒードラン,485,0,1,もらいび,92.5
ヒードラン,485,0,2,ほのおのからだ,7.5
クレセリア,488,0,1,ふゆう,100.0
ミジュマル,501,0,1,げきりゅう,66.7
ミジュマル,501,0,2,シェルアーマー,33.3
フタチマル,502,0,1,シェルアーマー,100.0
ダイケンキ,503,0,1,シェルアーマー,88.6
ダイケンキ,503,0,2,げきりゅう,11.4
ダイケンキ,503,1,1,きれあじ,98.1
ダイケンキ,503,1,2,げきりゅう,1.9
チュリネ,548,0,1,ようりょくそ,100.0
ドレディア,549,0,1,ようりょくそ,74.0
ドレディア,549,0,2,マイペース,18.0
ドレディア,549,0,3,リーフガード,8.0
ドレディア,549,1,1,はりきり,54.2
ドレディア,549,1,2,ようりょくそ,44.9
ドレディア,549,1,3,リーフガード,0.9
バスラオ,550,0,1,てきおうりょく,77.7
バスラオ,550,0,2,すてみ,21.4
バスラオ,550,0,3,かたやぶり,0.9
バスラオ,550,1,1,てきおうりょく,72.5
バスラオ,550,1,2,いしあたま,27.5
バスラオ,550,2,1,てきおうりょく,99.0
バスラオ,550,2,2,びびり,1.0
メグロコ,551,0,1,いかく,100.0
ワルビル,552,0,1,いかく,100.0
ワルビアル,553,0,1,じしんかじょう,49.5
ワルビアル,553,0,2,いかく,41.6
ワルビアル,553,0,3,いかりのつぼ,8.9
ゾロア,570,0,1,イリュージョン,100.0
ゾロア,570,1,1,イリュージョン,100.0
ゾロアーク,571,0,1,イリュージョン,100.0
ゾロアーク,571,1,1,イリュージョン,100.0
ゴチミル,575,0,1,かげふみ,98.6
ゴチミル,575,0,2,おみとおし,1.4
ゴチルゼル,576,0,1,かげふみ,99.2
ゴチルゼル,576,0,2,おみとおし,0.5
ゴチルゼル,576,0,3,かちき,0.3
シキジカ,585,0,1,そうしょく,94.3
シキジカ,585,0,2,てんのめぐみ,5.7
メブキジカ,586,0,1,てんのめぐみ,70.1
メブキジカ,586,0,2,そうしょく,18.3
メブキジカ,586,0,3,ようりょくそ,11.6
タマゲタケ,590,0,1,さいせいりょく,100.0
モロバレル,591,0,1,さいせいりょく,99.4
モロバレル,591,0,2,ほうし,0.6
ママンボウ,594,0,1,さいせいりょく,99.7
ママンボウ,594,0,2,うるおいボディ,0.2
ママンボウ,594,0,3,いやしのこころ,0.1
シビシラス,602,0,1,ふゆう,100.0
シビビール,603,0,1,ふゆう,100.0
シビルドン,604,0,1,ふゆう,100.0
キバゴ,610,0,1,かたやぶり,66.7
キバゴ,610,0,2,きんちょうかん,33.3
オノンド,611,0,1,かたやぶり,90.2
オノンド,611,0,2,きんちょうかん,9.8
オノノクス,612,0,1,かたやぶり,97.6
オノノクス,612,0,2,とうそうしん,1.5
オノノクス,612,0,3,きんちょうかん,0.8
クマシュン,613,0,1,ゆきかき,100.0
ツンベアー,614,0,1,すいすい,61.4
ツンベアー,614,0,2,ゆきかき,33.2
ツンベアー,614,0,3,ゆきがくれ,5.3
フリージオ,615,0,1,ふゆう,100.0
コマタナ,624,0,1,まけんき,62.7
コマタナ,624,0,2,せいしんりょく,37.3
キリキザン,625,0,1,まけんき,89.1
キリキザン,625,0,2,せいしんりょく,7.5
キリキザン,625,0,3,プレッシャー,3.5
ワシボン,627,0,1,はりきり,100.0
ウォーグル,628,0,1,まけんき,47.6
ウォーグル,628,0,2,ちからずく,46.1
ウォーグル,628,0,3,するどいめ,6.3
ウォーグル,628,1,1,いろめがね,87.0
ウォーグル,628,1,2,ちからずく,12.1
ウォーグル,628,1,3,するどいめ,0.9
モノズ,633,0,1,はりきり,100.0
ジヘッド,634,0,1,はりきり,100.0
サザンドラ,635,0,1,ふゆう,100.0
メラルバ,636,0,1,ほのおのからだ,54.2
メラルバ,636,0,2,むしのしらせ,45.8
ウルガモス,637,0,1,ほのおのからだ,93.7
ウルガモス,637,0,2,むしのしらせ,6.3
トルネロス,641,0,1,いたずらごころ,99.7
トルネロス,641,0,2,まけんき,0.3
トルネロス,641,1,1,さいせいりょく,100.0
ボルトロス,642,0,1,いたずらごころ,88.4
ボルトロス,642,0,2,まけんき,11.6
ボルトロス,642,1,1,ちくでん,100.0
ランドロス,645,0,1,ちからずく,97.8
ランドロス,645,0,2,すなのちから,2.2
ランドロス,645,1,1,いかく,100.0
ハリマロン,650,0,1,ぼうだん,100.0
ハリボーグ,651,0,1,ぼうだん,96.3
ハリボーグ,651,0,2,しんりょく,3.7
ブリガロン,652,0,1,ぼうだん,98.5
ブリガロン,652,0,2,しんりょく,1.5
フォッコ,653,0,1,もうか,100.0
テールナー,654,0,1,もうか,71.5
テールナー,654,0,2,マジシャン,28.5
マフォクシー,655,0,1,マジシャン,77.7
マフォクシー,655,0,2,もうか,22.3
ケロマツ,656,0,1,げきりゅう,80.0
ケロマツ,656,0,2,へんげんじざい,20.0
ゲコガシラ,657,0,1,へんげんじざい,100.0
ゲッコウガ,658,0,1,へんげんじざい,52.2
ゲッコウガ,658,0,2,げきりゅう,47.8
ヤヤコマ,661,0,1,はやてのつばさ,100.0
ヒノヤコマ,662,0,1,ほのおのからだ,58.8
ヒノヤコマ,662,0,2,はやてのつばさ,41.2
ファイアロー,663,0,1,はやてのつばさ,70.4
ファイアロー,663,0,2,ほのおのからだ,29.6
コフキムシ,664,0,1,ふくがん,100.0
ビビヨン,666,18,1,ふくがん,99.6
ビビヨン,666,18,2,りんぷん,0.4
ビビヨン,666,18,3,フレンドガード,0.0
シシコ,667,0,1,きんちょうかん,100.0
カエンジシ,668,0,1,きんちょうかん,63.2
カエンジシ,668,0,2,とうそうしん,29.7
カエンジシ,668,0,3,じしんかじょう,7.1
フラベベ,669,0,1,フラワーベール,100.0
フラエッテ,670,0,1,フラワーベール,100.0
フラージェス,671,0,1,フラワーベール,92.1
フラージェス,671,0,2,きょうせい,7.9
メェークル,672,0,1,くさのけがわ,73.7
メェークル,672,0,2,そうしょく,26.3
ゴーゴート,673,0,1,そうしょく,80.6
ゴーゴート,673,0,2,くさのけがわ,19.4
クズモー,690,0,1,てきおうりょく,100.0
ドラミドロ,691,0,1,てきおうりょく,97.9
ドラミドロ,691,0,2,どくのトゲ,1.3
ドラミドロ,691,0,3,どくしゅ,0.8
ウデッポウ,692,0,1,メガランチャー,100.0
ブロスター,693,0,1,メガランチャー,100.0
ニンフィア,700,0,1,フェアリースキン,98.4
ニンフィア,700,0,2,メロメロボディ,1.6
ルチャブル,701,0,1,かるわざ,94.2
ルチャブル,701,0,2,かたやぶり,3.5
ルチャブル,701,0,3,じゅうなん,2.3
デデンネ,702,0,1,ほおぶくろ,78.2
デデンネ,702,0,2,ものひろい,20.7
デデンネ,702,0,3,プラス,1.1
メレシー,703,0,1,がんじょう,65.3
メレシー,703,0,2,クリアボディ,34.7
ヌメラ,704,0,1,そうしょく,75.0
ヌメラ,704,0,2,うるおいボディ,25.0
ヌメイル,705,0,1,そうしょく,50.7
ヌメイル,705,0,2,うるおいボディ,46.3
ヌメイル,705,0,3,ぬめぬめ,3.0
ヌメイル,705,1,1,シェルアーマー,68.1
ヌメイル,705,1,2,そうしょく,31.9
ヌメルゴン,706,0,1,そうしょく,77.4
ヌメルゴン,706,0,2,ぬめぬめ,16.7
ヌメルゴン,706,0,3,うるおいボディ,6.0
ヌメルゴン,706,1,1,そうしょく,58.1
ヌメルゴン,706,1,2,シェルアーマー,39.5
ヌメルゴン,706,1,3,ぬめぬめ,2.4
クレッフィ,707,0,1,いたずらごころ,99.7
クレッフィ,707,0,2,マジシャン,0.3
カチコール,712,0,1,マイペース,68.8
カチコール,712,0,2,がんじょう,25.0
カチコール,712,0,3,アイスボディ,6.3
クレベース,713,0,1,がんじょう,94.0
クレベース,713,0,2,マイペース,3.9
クレベース,713,0,3,アイスボディ,2.0
クレベース,713,1,1,がんじょう,87.7
クレベース,713,1,2,がんじょうあご,9.9
クレベース,713,1,3,アイスボディ,2.4
オンバット,714,0,1,おみとおし,100.0
