pokemon,id,form,rank,terastype,raito
ヤドン,79,1,1,あく,85.7
ヤドン,79,1,2,みず,14.3
ヤドラン,80,0,1,フェアリー,43.0
ヤドラン,80,0,2,くさ,14.9
ヤドラン,80,0,3,みず,10.9
ヤドラン,80,0,4,ドラゴン,7.9
ヤドラン,80,0,5,はがね,6.9
ヤドラン,80,0,6,じめん,6.1
ヤドラン,80,0,7,あく,2.8
ヤドラン,80,0,8,こおり,2.6
ヤドラン,80,0,9,ほのお,2.0
ヤドラン,80,0,10,ノーマル,1.4
ヤドラン,80,2,1,どく,33.2
ヤドラン,80,2,2,くさ,14.4
ヤドラン,80,2,3,みず,13.2
ヤドラン,80,2,4,ひこう,11.3
ヤドラン,80,2,5,こおり,6.8
ヤドラン,80,2,6,じめん,6.2
ヤドラン,80,2,7,かくとう,4.8
ヤドラン,80,2,8,フェアリー,3.9
ヤドラン,80,2,9,ほのお,3.4
ヤドラン,80,2,10,あく,1.4
コイル,81,0,1,くさ,100.0
レアコイル,82,0,1,ひこう,50.0
レアコイル,82,0,2,はがね,14.3
レアコイル,82,0,3,じめん,14.3
レアコイル,82,0,4,でんき,14.3
レアコイル,82,0,5,ノーマル,7.1
ベトベトン,89,0,1,ゴースト,48.6
ベトベトン,89,0,2,どく,17.6
ベトベトン,89,0,3,あく,6.8
ベトベトン,89,0,4,ひこう,6.8
ベトベトン,89,0,5,じめん,6.8
ベトベトン,89,0,6,みず,6.8
ベトベトン,89,0,7,かくとう,4.1
ベトベトン,89,0,8,ほのお,2.7
ベトベトン,89,1,1,どく,23.0
ベトベトン,89,1,2,ひこう,20.7
ベトベトン,89,1,3,ほのお,19.0
ベトベトン,89,1,4,みず,16.0
ベトベトン,89,1,5,ゴースト,9.0
ベトベトン,89,1,6,くさ,7.4
ベトベトン,89,1,7,あく,2.0
ベトベトン,89,1,8,かくとう,0.8
ベトベトン,89,1,9,でんき,0.7
ベトベトン,89,1,10,フェアリー,0.4
パルシェン,91,0,1,こおり,36.4
パルシェン,91,0,2,みず,14.4
パルシェン,91,0,3,じめん,12.7
パルシェン,91,0,4,くさ,10.2
パルシェン,91,0,5,ほのお,7.6
パルシェン,91,0,6,いわ,5.1
パルシェン,91,0,7,フェアリー,4.2
パルシェン,91,0,8,ゴースト,4.2
パルシェン,91,0,9,でんき,2.5
パルシェン,91,0,10,ノーマル,0.8
ゴースト,93,0,1,くさ,33.3
ゴースト,93,0,2,はがね,33.3
ゴースト,93,0,3,じめん,16.7
ゴースト,93,0,4,でんき,16.7
ゲンガー,94,0,1,フェアリー,24.4
ゲンガー,94,0,2,ゴースト,22.4
ゲンガー,94,0,3,ひこう,12.9
ゲンガー,94,0,4,ドラゴン,7.5
ゲンガー,94,0,5,どく,7.5
ゲンガー,94,0,6,あく,5.5
ゲンガー,94,0,7,でんき,5.0
ゲンガー,94,0,8,くさ,4.0
ゲンガー,94,0,9,ノーマル,3.5
ゲンガー,94,0,10,みず,3.0
スリープ,96,0,1,あく,100.0
スリーパー,97,0,1,フェアリー,78.3
スリーパー,97,0,2,あく,11.6
スリーパー,97,0,3,ほのお,5.8
スリーパー,97,0,4,ゴースト,2.9
スリーパー,97,0,5,エスパー,1.4
マルマイン,101,0,1,ノーマル,76.5
マルマイン,101,0,2,こおり,20.6
マルマイン,101,0,3,でんき,2.9
マルマイン,101,1,1,ゴースト,71.3
マルマイン,101,1,2,くさ,10.7
マルマイン,101,1,3,でんき,10.4
マルマイン,101,1,4,はがね,1.7
マルマイン,101,1,5,ほのお,1.7
マルマイン,101,1,6,フェアリー,1.4
マルマイン,101,1,7,こおり,1.2
マルマイン,101,1,8,ノーマル,0.6
マルマイン,101,1,9,みず,0.3
マルマイン,101,1,10,ひこう,0.3
ラッキー,113,0,1,ゴースト,50.0
ラッキー,113,0,2,どく,43.7
ラッキー,113,0,3,くさ,2.4
ラッキー,113,0,4,みず,1.6
ラッキー,113,0,5,でんき,1.6
ラッキー,113,0,6,ノーマル,0.8
ストライク,123,0,1,ドラゴン,41.7
ストライク,123,0,2,ひこう,25.0
ストライク,123,0,3,むし,16.7
ストライク,123,0,4,でんき,8.3
ストライク,123,0,5,かくとう,8.3
ケンタロス,128,0,1,ノーマル,39.5
ケンタロス,128,0,2,どく,34.2
ケンタロス,128,0,3,フェアリー,18.4
ケンタロス,128,0,4,くさ,5.3
ケンタロス,128,0,5,ゴースト,2.6
ケンタロス,128,1,1,フェアリー,42.9
ケンタロス,128,1,2,エスパー,14.3
ケンタロス,128,1,3,はがね,14.3
ケンタロス,128,1,4,こおり,7.1
ケンタロス,128,1,5,くさ,7.1
ケンタロス,128,1,6,かくとう,7.1
ケンタロス,128,1,7,ゴースト,7.1
ケンタロス,128,2,1,くさ,23.5
ケンタロス,128,2,2,ほのお,20.1
ケンタロス,128,2,3,みず,13.2
ケンタロス,128,2,4,はがね,11.3
ケンタロス,128,2,5,ゴースト,8.8
ケンタロス,128,2,6,じめん,8.8
ケンタロス,128,2,7,でんき,3.9
ケンタロス,128,2,8,ひこう,3.4
ケンタロス,128,2,9,ドラゴン,2.9
ケンタロス,128,2,10,かくとう,2.0
ケンタロス,128,3,1,はがね,34.9
ケンタロス,128,3,2,みず,19.4
ケンタロス,128,3,3,フェアリー,14.4
ケンタロス,128,3,4,ほのお,14.0
ケンタロス,128,3,5,じめん,3.6
ケンタロス,128,3,6,かくとう,3.4
ケンタロス,128,3,7,くさ,2.0
ケンタロス,128,3,8,むし,1.8
ケンタロス,128,3,9,ノーマル,1.4
ケンタロス,128,3,10,あく,1.1
ギャラドス,130,0,1,ひこう,32.4
ギャラドス,130,0,2,じめん,24.3
ギャラドス,130,0,3,はがね,13.4
ギャラドス,130,0,4,みず,8.1
ギャラドス,130,0,5,フェアリー,5.2
ギャラドス,130,0,6,くさ,4.8
ギャラドス,130,0,7,でんき,3.5
ギャラドス,130,0,8,ドラゴン,3.4
ギャラドス,130,0,9,どく,1.3
ギャラドス,130,0,10,いわ,1.0
メタモン,132,0,1,ノーマル,38.6
メタモン,132,0,2,でんき,16.4
メタモン,132,0,3,フェアリー,12.1
メタモン,132,0,4,はがね,11.4
メタモン,132,0,5,ゴースト,5.7
メタモン,132,0,6,みず,5.0
メタモン,132,0,7,むし,2.9
メタモン,132,0,8,ひこう,2.9
メタモン,132,0,9,ドラゴン,2.1
メタモン,132,0,10,くさ,2.1
イーブイ,133,0,1,ゴースト,66.7
イーブイ,133,0,2,ノーマル,33.3
シャワーズ,134,0,1,みず,23.3
シャワーズ,134,0,2,フェアリー,23.1
シャワーズ,134,0,3,くさ,13.3
シャワーズ,134,0,4,ゴースト,12.6
シャワーズ,134,0,5,ほのお,7.2
シャワーズ,134,0,6,でんき,5.7
シャワーズ,134,0,7,エスパー,4.6
シャワーズ,134,0,8,じめん,3.9
シャワーズ,134,0,9,ドラゴン,2.1
シャワーズ,134,0,10,はがね,1.3
サンダース,135,0,1,ひこう,32.0
サンダース,135,0,2,こおり,20.5
サンダース,135,0,3,でんき,16.4
サンダース,135,0,4,ゴースト,9.0
サンダース,135,0,5,じめん,8.2
サンダース,135,0,6,かくとう,7.4
サンダース,135,0,7,くさ,2.5
サンダース,135,0,8,みず,1.6
サンダース,135,0,9,ノーマル,0.8
サンダース,135,0,10,ドラゴン,0.8
ブースター,136,0,1,ノーマル,75.4
ブースター,136,0,2,くさ,14.0
ブースター,136,0,3,ほのお,5.3
ブースター,136,0,4,むし,1.8
ブースター,136,0,5,じめん,1.8
ブースター,136,0,6,ひこう,1.8
フリーザー,144,0,1,みず,42.5
フリーザー,144,0,2,じめん,38.0
フリーザー,144,0,3,こおり,14.4
フリーザー,144,0,4,ドラゴン,1.6
フリーザー,144,0,5,いわ,0.9
フリーザー,144,0,6,ほのお,0.8
フリーザー,144,0,7,はがね,0.4
フリーザー,144,0,8,ゴースト,0.4
フリーザー,144,0,9,フェアリー,0.3
フリーザー,144,0,10,かくとう,0.2
フリーザー,144,1,1,はがね,22.3
フリーザー,144,1,2,フェアリー,18.6
フリーザー,144,1,3,エスパー,15.4
フリーザー,144,1,4,ノーマル,13.5
フリーザー,144,1,5,あく,8.7
フリーザー,144,1,6,かくとう,4.7
フリーザー,144,1,7,ゴースト,3.5
フリーザー,144,1,8,じめん,3.5
フリーザー,144,1,9,ひこう,2.2
フリーザー,144,1,10,みず,1.7
サンダー,145,0,1,はがね,42.0
サンダー,145,0,2,でんき,27.6
サンダー,145,0,3,みず,11.7
サンダー,145,0,4,ほのお,5.9
サンダー,145,0,5,ゴースト,4.1
サンダー,145,0,6,こおり,3.9
サンダー,145,0,7,フェアリー,1.6
サンダー,145,0,8,ひこう,1.0
サンダー,145,0,9,くさ,0.8
サンダー,145,0,10,かくとう,0.5
サンダー,145,1,1,はがね,33.9
サンダー,145,1,2,ほのお,30.4
サンダー,145,1,3,でんき,13.4
サンダー,145,1,4,かくとう,6.8
サンダー,145,1,5,ゴースト,3.7
サンダー,145,1,6,ひこう,3.6
サンダー,145,1,7,いわ,3.2
サンダー,145,1,8,フェアリー,1.1
サンダー,145,1,9,じめん,0.9
サンダー,145,1,10,みず,0.8
ファイヤー,146,0,1,くさ,49.5
ファイヤー,146,0,2,みず,17.9
ファイヤー,146,0,3,ほのお,15.8
ファイヤー,146,0,4,じめん,10.9
ファイヤー,146,0,5,どく,1.7
ファイヤー,146,0,6,ゴースト,1.5
ファイヤー,146,0,7,ドラゴン,1.3
ファイヤー,146,0,8,フェアリー,0.8
ファイヤー,146,0,9,ひこう,0.4
ファイヤー,146,0,10,はがね,0.2
ファイヤー,146,1,1,どく,54.7
ファイヤー,146,1,2,あく,18.1
ファイヤー,146,1,3,はがね,11.6
ファイヤー,146,1,4,フェアリー,6.2
ファイヤー,146,1,5,みず,4.4
ファイヤー,146,1,6,ほのお,2.5
ファイヤー,146,1,7,ゴースト,0.8
ファイヤー,146,1,8,ひこう,0.4
ファイヤー,146,1,9,くさ,0.3
ファイヤー,146,1,10,いわ,0.3
ハクリュー,148,0,1,フェアリー,100.0
カイリュー,149,0,1,ノーマル,89.0
カイリュー,149,0,2,ひこう,6.8
カイリュー,149,0,3,はがね,2.1
カイリュー,149,0,4,じめん,0.5
カイリュー,149,0,5,フェアリー,0.3
カイリュー,149,0,6,みず,0.3
カイリュー,149,0,7,どく,0.2
カイリュー,149,0,8,ドラゴン,0.2
カイリュー,149,0,9,ほのお,0.2
カイリュー,149,0,10,でんき,0.2
バクフーン,157,0,1,ほのお,60.1
バクフーン,157,0,2,ゴースト,18.1
バクフーン,157,0,3,くさ,17.4
バクフーン,157,0,4,こおり,1.9
バクフーン,157,0,5,じめん,1.0
バクフーン,157,0,6,みず,0.6
バクフーン,157,0,7,フェアリー,0.4
バクフーン,157,0,8,ひこう,0.3
バクフーン,157,0,9,ドラゴン,0.1
バクフーン,157,1,1,ほのお,91.6
バクフーン,157,1,2,くさ,2.5
バクフーン,157,1,3,ひこう,2.3
バクフーン,157,1,4,フェアリー,1.3
バクフーン,157,1,5,あく,0.6
バクフーン,157,1,6,みず,0.5
バクフーン,157,1,7,ゴースト,0.4
バクフーン,157,1,8,じめん,0.4
バクフーン,157,1,9,かくとう,0.3
バクフーン,157,1,10,ノーマル,0.2
ピチュー,172,0,1,でんき,100.0
デンリュウ,181,0,1,フェアリー,58.7
デンリュウ,181,0,2,ひこう,30.1
デンリュウ,181,0,3,でんき,4.9
デンリュウ,181,0,4,いわ,4.2
デンリュウ,181,0,5,くさ,0.7
デンリュウ,181,0,6,みず,0.7
デンリュウ,181,0,7,ドラゴン,0.7
マリルリ,184,0,1,みず,49.0
マリルリ,184,0,2,フェアリー,16.2
マリルリ,184,0,3,くさ,15.7
マリルリ,184,0,4,ほのお,5.0
マリルリ,184,0,5,はがね,3.7
マリルリ,184,0,6,どく,2.8
マリルリ,184,0,7,ノーマル,2.0
マリルリ,184,0,8,じめん,1.6
マリルリ,184,0,9,ドラゴン,1.3
マリルリ,184,0,10,ゴースト,1.3
ウソッキー,185,0,1,くさ,79.2
ウソッキー,185,0,2,いわ,12.5
ウソッキー,185,0,3,あく,8.3
ポポッコ,188,0,1,フェアリー,100.0
ワタッコ,189,0,1,みず,66.3
ワタッコ,189,0,2,ゴースト,28.8
ワタッコ,189,0,3,あく,3.9
ワタッコ,189,0,4,いわ,0.4
ワタッコ,189,0,5,ひこう,0.2
ワタッコ,189,0,6,どく,0.2
ワタッコ,189,0,7,はがね,0.2
ヒマナッツ,191,0,1,ゴースト,100.0
キマワリ,192,0,1,ほのお,35.7
キマワリ,192,0,2,フェアリー,28.6
キマワリ,192,0,3,じめん,21.4
キマワリ,192,0,4,くさ,14.3
ヌオー,195,0,1,はがね,52.2
ヌオー,195,0,2,ほのお,21.7
ヌオー,195,0,3,くさ,13.0
ヌオー,195,0,4,みず,4.3
ヌオー,195,0,5,ゴースト,4.3
ヌオー,195,0,6,ドラゴン,4.3
エーフィ,196,0,1,フェアリー,53.1
エーフィ,196,0,2,ほのお,12.3
エーフィ,196,0,3,みず,7.2
エーフィ,196,0,4,いわ,5.8
エーフィ,196,0,5,エスパー,5.4
エーフィ,196,0,6,ゴースト,5.1
エーフィ,196,0,7,はがね,3.6
エーフィ,196,0,8,ノーマル,2.9
エーフィ,196,0,9,かくとう,1.8
エーフィ,196,0,10,あく,1.4
ブラッキー,197,0,1,どく,56.7
ブラッキー,197,0,2,ゴースト,23.1
ブラッキー,197,0,3,フェアリー,9.8
ブラッキー,197,0,4,あく,3.2
ブラッキー,197,0,5,ほのお,1.9
ブラッキー,197,0,6,はがね,1.7
ブラッキー,197,0,7,ノーマル,1.5
ブラッキー,197,0,8,みず,0.7
ブラッキー,197,0,9,ひこう,0.7
ブラッキー,197,0,10,くさ,0.5
ヤミカラス,198,0,1,ゴースト,76.2
ヤミカラス,198,0,2,あく,6.6
ヤミカラス,198,0,3,はがね,5.4
ヤミカラス,198,0,4,ひこう,5.4
ヤミカラス,198,0,5,くさ,3.8
ヤミカラス,198,0,6,じめん,1.3
ヤミカラス,198,0,7,どく,0.5
ヤミカラス,198,0,8,かくとう,0.3
ヤミカラス,198,0,9,ほのお,0.3
ヤミカラス,198,0,10,むし,0.3
ヤドキング,199,0,1,フェアリー,34.9
ヤドキング,199,0,2,くさ,14.3
ヤドキング,199,0,3,みず,9.0
ヤドキング,199,0,4,あく,8.8
ヤドキング,199,0,5,はがね,6.1
ヤドキング,199,0,6,こおり,4.9
ヤドキング,199,0,7,ひこう,4.5
ヤドキング,199,0,8,ゴースト,4.3
ヤドキング,199,0,9,ノーマル,3.5
ヤドキング,199,0,10,ほのお,2.4
ヤドキング,199,1,1,あく,25.5
ヤドキング,199,1,2,こおり,22.8
ヤドキング,199,1,3,どく,21.7
ヤドキング,199,1,4,くさ,10.7
ヤドキング,199,1,5,みず,9.1
ヤドキング,199,1,6,ひこう,3.2
ヤドキング,199,1,7,フェアリー,2.4
ヤドキング,199,1,8,ゴースト,1.9
ヤドキング,199,1,9,エスパー,1.3
ヤドキング,199,1,10,むし,0.5
ムウマ,200,0,1,あく,64.7
ムウマ,200,0,2,でんき,16.2
ムウマ,200,0,3,ノーマル,10.8
ムウマ,200,0,4,みず,2.4
ムウマ,200,0,5,フェアリー,2.4
ムウマ,200,0,6,ゴースト,1.2
ムウマ,200,0,7,くさ,1.2
ムウマ,200,0,8,はがね,1.2
フォレトス,205,0,1,ノーマル,45.7
フォレトス,205,0,2,ほのお,15.2
フォレトス,205,0,3,むし,10.9
フォレトス,205,0,4,いわ,8.7
フォレトス,205,0,5,かくとう,6.5
フォレトス,205,0,6,ゴースト,4.3
フォレトス,205,0,7,みず,4.3
フォレトス,205,0,8,はがね,2.2
フォレトス,205,0,9,どく,2.2
ノコッチ,206,0,1,フェアリー,50.0
ノコッチ,206,0,2,こおり,33.3
ノコッチ,206,0,3,ゴースト,16.7
ハリーセン,211,0,1,みず,96.7
ハリーセン,211,0,2,むし,3.3
ハリーセン,211,1,1,あく,42.9
ハリーセン,211,1,2,どく,28.6
ハリーセン,211,1,3,くさ,14.3
ハリーセン,211,1,4,ひこう,10.7
ハリーセン,211,1,5,むし,3.6
ハッサム,212,0,1,はがね,40.7
ハッサム,212,0,2,みず,30.1
ハッサム,212,0,3,ほのお,8.9
ハッサム,212,0,4,ひこう,7.1
ハッサム,212,0,5,ドラゴン,3.7
ハッサム,212,0,6,むし,2.2
ハッサム,212,0,7,いわ,1.7
ハッサム,212,0,8,かくとう,1.7
ハッサム,212,0,9,じめん,1.4
ハッサム,212,0,10,ノーマル,0.6
ヘラクロス,214,0,1,いわ,58.3
ヘラクロス,214,0,2,ノーマル,22.3
ヘラクロス,214,0,3,はがね,7.8
ヘラクロス,214,0,4,むし,5.5
ヘラクロス,214,0,5,かくとう,3.2
ヘラクロス,214,0,6,ドラゴン,1.6
ヘラクロス,214,0,7,じめん,0.6
ヘラクロス,214,0,8,あく,0.3
ヘラクロス,214,0,9,ほのお,0.3
ニューラ,215,0,1,どく,100.0
ニューラ,215,1,1,どく,100.0
リングマ,217,0,1,ノーマル,67.3
リングマ,217,0,2,どく,20.0
リングマ,217,0,3,フェアリー,7.3
リングマ,217,0,4,ゴースト,3.6
リングマ,217,0,5,ひこう,1.8
ヘルガー,229,0,1,くさ,79.5
ヘルガー,229,0,2,ほのお,15.9
ヘルガー,229,0,3,ゴースト,4.5
ドンファン,232,0,1,くさ,35.1
ドンファン,232,0,2,じめん,27.0
ドンファン,232,0,3,みず,13.5
ドンファン,232,0,4,ほのお,10.8
ドンファン,232,0,5,あく,5.4
ドンファン,232,0,6,こおり,5.4
ドンファン,232,0,7,はがね,2.7
オドシシ,234,0,1,フェアリー,42.3
オドシシ,234,0,2,ゴースト,21.1
オドシシ,234,0,3,どく,21.1
オドシシ,234,0,4,みず,5.6
オドシシ,234,0,5,ひこう,4.2
オドシシ,234,0,6,くさ,4.2
オドシシ,234,0,7,ノーマル,1.4
ハピナス,242,0,1,ゴースト,67.2
ハピナス,242,0,2,フェアリー,17.9
ハピナス,242,0,3,こおり,7.5
ハピナス,242,0,4,ほのお,3.0
ハピナス,242,0,5,くさ,1.5
ハピナス,242,0,6,むし,1.5
ハピナス,242,0,7,はがね,1.5
バンギラス,248,0,1,ひこう,41.2
バンギラス,248,0,2,いわ,14.7
バンギラス,248,0,3,フェアリー,12.9
バンギラス,248,0,4,ゴースト,11.5
バンギラス,248,0,5,じめん,5.2
バンギラス,248,0,6,くさ,5.2
バンギラス,248,0,7,みず,2.5
バンギラス,248,0,8,はがね,1.6
バンギラス,248,0,9,こおり,1.1
バンギラス,248,0,10,どく,1.0
ペリッパー,279,0,1,はがね,36.8
ペリッパー,279,0,2,じめん,14.2
ペリッパー,279,0,3,ゴースト,13.8
ペリッパー,279,0,4,ひこう,10.9
ペリッパー,279,0,5,くさ,8.3
ペリッパー,279,0,6,みず,7.0
ペリッパー,279,0,7,でんき,3.2
ペリッパー,279,0,8,ドラゴン,2.0
ペリッパー,279,0,9,フェアリー,1.2
ペリッパー,279,0,10,あく,0.7
サーナイト,282,0,1,フェアリー,35.3
サーナイト,282,0,2,ほのお,18.8
サーナイト,282,0,3,ゴースト,16.3
サーナイト,282,0,4,エスパー,10.0
サーナイト,282,0,5,はがね,7.5
サーナイト,282,0,6,ノーマル,3.3
サーナイト,282,0,7,みず,2.8
サーナイト,282,0,8,どく,1.5
サーナイト,282,0,9,くさ,0.8
サーナイト,282,0,10,じめん,0.8
アメタマ,283,0,1,ゴースト,100.0
アメモース,284,0,1,みず,62.5
アメモース,284,0,2,こおり,25.0
アメモース,284,0,3,ひこう,12.5
キノココ,285,0,1,みず,100.0
キノガッサ,286,0,1,ゴースト,21.5
キノガッサ,286,0,2,いわ,18.1
キノガッサ,286,0,3,かくとう,7.8
キノガッサ,286,0,4,はがね,7.6
キノガッサ,286,0,5,どく,7.2
キノガッサ,286,0,6,じめん,7.0
キノガッサ,286,0,7,みず,7.0
キノガッサ,286,0,8,ほのお,6.8
キノガッサ,286,0,9,くさ,6.2
キノガッサ,286,0,10,でんき,5.8
ケッキング,289,0,1,ゴースト,45.5
ケッキング,289,0,2,フェアリー,23.4
ケッキング,289,0,3,ノーマル,9.4
ケッキング,289,0,4,ほのお,8.1
ケッキング,289,0,5,かくとう,3.8
ケッキング,289,0,6,いわ,2.1
ケッキング,289,0,7,でんき,2.1
ケッキング,289,0,8,じめん,2.1
ケッキング,289,0,9,エスパー,1.7
ケッキング,289,0,10,どく,1.7
ハリテヤマ,297,0,1,はがね,65.1
ハリテヤマ,297,0,2,ゴースト,7.9
ハリテヤマ,297,0,3,じめん,6.9
ハリテヤマ,297,0,4,かくとう,5.2
ハリテヤマ,297,0,5,ノーマル,3.5
ハリテヤマ,297,0,6,あく,2.4
ハリテヤマ,297,0,7,いわ,2.3
ハリテヤマ,297,0,8,ひこう,2.1
ハリテヤマ,297,0,9,ほのお,1.8
ハリテヤマ,297,0,10,どく,1.8
ルリリ,298,0,1,ゴースト,100.0
ヤミラミ,302,0,1,はがね,33.1
ヤミラミ,302,0,2,あく,19.8
ヤミラミ,302,0,3,ほのお,15.7
ヤミラミ,302,0,4,どく,11.6
ヤミラミ,302,0,5,ノーマル,5.0
ヤミラミ,302,0,6,ゴースト,5.0
ヤミラミ,302,0,7,くさ,3.3
ヤミラミ,302,0,8,ひこう,2.5
ヤミラミ,302,0,9,みず,2.5
ヤミラミ,302,0,10,じめん,0.8
チャーレム,308,0,1,はがね,74.5
チャーレム,308,0,2,かくとう,8.5
チャーレム,308,0,3,ゴースト,4.7
チャーレム,308,0,4,エスパー,3.8
チャーレム,308,0,5,フェアリー,3.8
チャーレム,308,0,6,どく,1.9
チャーレム,308,0,7,ひこう,0.9
チャーレム,308,0,8,みず,0.9
チャーレム,308,0,9,あく,0.9
マルノーム,317,0,1,ノーマル,50.0
マルノーム,317,0,2,どく,50.0
ドンメル,322,0,1,じめん,50.0
ドンメル,322,0,2,ノーマル,33.3
ドンメル,322,0,3,くさ,16.7
バクーダ,323,0,1,くさ,42.1
バクーダ,323,0,2,ほのお,39.5
バクーダ,323,0,3,みず,11.8
バクーダ,323,0,4,ドラゴン,2.6
バクーダ,323,0,5,じめん,2.6
バクーダ,323,0,6,はがね,1.3
コータス,324,0,1,ほのお,89.5
コータス,324,0,2,くさ,5.1
コータス,324,0,3,ゴースト,2.2
コータス,324,0,4,ひこう,1.6
コータス,324,0,5,みず,0.5
コータス,324,0,6,ノーマル,0.2
コータス,324,0,7,はがね,0.2
コータス,324,0,8,じめん,0.2
コータス,324,0,9,かくとう,0.2
コータス,324,0,10,どく,0.1
ブーピッグ,326,0,1,あく,37.1
ブーピッグ,326,0,2,いわ,28.6
ブーピッグ,326,0,3,はがね,22.9
ブーピッグ,326,0,4,エスパー,5.7
ブーピッグ,326,0,5,みず,2.9
ブーピッグ,326,0,6,フェアリー,2.9
ノクタス,332,0,1,ゴースト,34.3
ノクタス,332,0,2,ほのお,22.9
ノクタス,332,0,3,じめん,11.4
