id,no,name,eng,type1,type2,ability1,ability2,ability3,h,a,b,c,d,s,icon
33.1,33,ニドリーノ,Nidorino,どく,なし,どくのトゲ,とうそうしん,はりきり,61,72,57,55,55,65,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/033.png
34.1,34,ニドキング,Nidoking,どく,じめん,どくのトゲ,とうそうしん,ちからずく,81,102,77,85,75,85,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/034.png
35.1,35,ピッピ,Clefairy,フェアリー,なし,メロメロボディ,マジックガード,フレンドガード,70,45,48,60,65,35,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/035.png
36.1,36,ピクシー,Clefable,フェアリー,なし,メロメロボディ,マジックガード,てんねん,95,70,73,95,90,60,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/036.png
37.1,37,ロコン,Vulpix,ほのお,なし,もらいび,ひでり,なし,38,41,40,50,65,65,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/037.png
37.2,37,ロコン(アローラ),Alolan Vulpix,こおり,なし,ゆきがくれ,ゆきふらし,なし,38,41,40,50,65,65,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/037-a.png
38.1,38,キュウコン,Ninetales,ほのお,なし,もらいび,ひでり,なし,73,76,75,81,100,100,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/038.png
38.2,38,キュウコン(アローラ),Alolan Ninetales,こおり,フェアリー,ゆきがくれ,ゆきふらし,なし,73,67,75,81,100,109,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/038-a.png
39.1,39,プリン,Jigglypuff,ノーマル,フェアリー,メロメロボディ,かちき,フレンドガード,115,45,20,45,25,20,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/039.png
40.1,40,プクリン,Wigglytuff,ノーマル,フェアリー,メロメロボディ,かちき,おみとおし,140,70,45,85,50,45,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/040.png
41.1,41,ズバット,Zubat,どく,ひこう,せいしんりょく,すりぬけ,なし,40,45,35,30,40,55,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/041.png
42.1,42,ゴルバット,Golbat,どく,ひこう,せいしんりょく,すりぬけ,なし,75,80,70,65,75,90,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/042.png
43.1,43,ナゾノクサ,Oddish,くさ,どく,ようりょくそ,にげあし,なし,45,50,55,75,65,30,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/043.png
44.1,44,クサイハナ,Gloom,くさ,どく,ようりょくそ,あくしゅう,なし,60,65,70,85,75,40,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/044.png
45.1,45,ラフレシア,Vileplume,くさ,どく,ようりょくそ,ほうし,なし,75,80,85,110,90,50,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/045.png
46.1,46,パラス,Paras,むし,くさ,ほうし,かんそうはだ,しめりけ,35,70,55,45,55,25,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/046.png
47.1,47,パラセクト,Parasect,むし,くさ,ほうし,かんそうはだ,しめりけ,60,95,80,60,80,30,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/047.png
48.1,48,コンパン,Venonat,むし,どく,ふくがん,いろめがね,にげあし,60,55,50,40,55,45,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/048.png
49.1,49,モルフォン,Venomoth,むし,どく,りんぷん,いろめがね,ミラクルスキン,70,65,60,90,75,90,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/049.png
50.1,50,ディグダ,Diglett,じめん,なし,すながくれ,ありじごく,すなのちから,10,55,25,35,45,95,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/050.png
50.2,50,ディグダ(アローラ),Alolan Diglett,じめん,はがね,すながくれ,カーリーヘアー,すなのちから,10,55,30,35,45,90,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/050-a.png
51.1,51,ダグトリオ,Dugtrio,じめん,なし,すながくれ,ありじごく,すなのちから,35,100,50,50,70,120,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/051.png
51.2,51,ダグトリオ(アローラ),Alolan Dugtrio,じめん,はがね,すながくれ,カーリーヘアー,すなのちから,35,100,60,50,70,110,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/051-a.png
52.1,52,ニャース,Meowth,ノーマル,なし,ものひろい,テクニシャン,きんちょうかん,40,45,35,40,40,90,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/052.png
52.2,52,ニャース(アローラ),Alolan Meowth,あく,なし,ものひろい,テクニシャン,びびり,40,35,35,50,40,90,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/052-a.png
52.3,52,ニャース(ガラル),Galarian Meowth,はがね,なし,ものひろい,かたいツメ,きんちょうかん,50,65,55,40,40,40,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/052-g.png
53.1,53,ペルシアン,Persian,ノーマル,なし,じゅうなん,テクニシャン,きんちょうかん,65,70,60,65,65,115,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/053.png
53.2,53,ペルシアン(アローラ),Alolan Persian,あく,なし,ファーコート,テクニシャン,びびり,65,60,60,75,65,115,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/053-a.png
54.1,54,コダック,Psyduck,みず,なし,しめりけ,ノーてんき,すいすい,50,52,48,65,50,55,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/054.png
55.1,55,ゴルダック,Golduck,みず,なし,しめりけ,ノーてんき,すいすい,80,82,78,95,80,85,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/055.png
56.1,56,マンキー,Mankey,かくとう,なし,やるき,いかりのつぼ,まけんき,40,80,35,35,45,70,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/056.png
57.1,57,オコリザル,Primeape,かくとう,なし,やるき,いかりのつぼ,まけんき,65,105,60,60,70,95,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/057.png
58.1,58,ガーディ,Growlithe,ほのお,なし,いかく,もらいび,せいぎのこころ,55,70,45,70,50,60,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/058.png
58.2,58,ガーディ(ヒスイ),Hisuian Growlithe,ほのお,いわ,いかく,もらいび,いしあたま,60,75,45,65,50,55,https://pokemon-irasuto-taizen.com/wp-content/uploads/2022/01/058-h.png
59.1,59,ウインディ,Arcanine,ほのお,なし,いかく,もらいび,せいぎのこころ,90,110,80,100,80,95,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/059.png
59.2,59,ウインディ(ヒスイ),Hisuian Arcanine,ほのお,いわ,いかく,もらいび,いしあたま,95,115,80,95,80,90,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/059-h.png
60.1,60,ニョロモ,Poliwag,みず,なし,ちょすい,しめりけ,すいすい,40,50,40,40,40,90,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/060.png
61.1,61,ニョロゾ,Poliwhirl,みず,なし,ちょすい,しめりけ,すいすい,65,65,65,50,50,90,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/061.png
62.1,62,ニョロボン,Poliwrath,みず,かくとう,ちょすい,しめりけ,すいすい,90,95,95,70,90,70,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/062.png
63.1,63,ケーシィ,Abra,エスパー,なし,シンクロ,せいしんりょく,マジックガード,25,20,15,105,55,90,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/063.png
64.1,64,ユンゲラー,Kadabra,エスパー,なし,シンクロ,せいしんりょく,マジックガード,40,35,30,120,70,105,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/064.png
65.1,65,フーディン,Alakazam,エスパー,なし,シンクロ,せいしんりょく,マジックガード,55,50,45,135,95,120,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/065.png
65.2,65,メガフーディン,Mega Alakazam,エスパー,なし,トレース,なし,なし,55,50,65,175,105,150,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/065-m.png
66.1,66,ワンリキー,Machop,かくとう,なし,こんじょう,ノーガード,ふくつのこころ,70,80,50,35,35,35,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/066.png
67.1,67,ゴーリキー,Machoke,かくとう,なし,こんじょう,ノーガード,ふくつのこころ,80,100,70,50,60,45,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/067.png
68.1,68,カイリキー,Machamp,かくとう,なし,こんじょう,ノーガード,ふくつのこころ,90,130,80,65,85,55,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/068.png
69.1,69,マダツボミ,Bellsprout,くさ,どく,ようりょくそ,くいしんぼう,なし,50,75,35,70,30,40,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/069.png
70.1,70,ウツドン,Weepinbell,くさ,どく,ようりょくそ,くいしんぼう,なし,65,90,50,85,45,55,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/070.png
71.1,71,ウツボット,Victreebel,くさ,どく,ようりょくそ,くいしんぼう,なし,80,105,65,100,70,70,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/071.png
72.1,72,メノクラゲ,Tentacool,みず,どく,クリアボディ,ヘドロえき,あめうけざら,40,40,35,50,100,70,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/072.png
73.1,73,ドククラゲ,Tentacruel,みず,どく,クリアボディ,ヘドロえき,あめうけざら,80,70,65,80,120,100,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/073.png
74.1,74,イシツブテ,Geodude,いわ,じめん,いしあたま,がんじょう,すながくれ,40,80,100,30,30,20,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/074.png
74.2,74,イシツブテ(アローラ),Alolan Geodude,いわ,でんき,じりょく,がんじょう,エレキスキン,40,80,100,30,30,20,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/074-a.png
75.1,75,ゴローン,Graveler,いわ,じめん,いしあたま,がんじょう,すながくれ,55,95,115,45,45,35,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/075.png
75.2,75,ゴローン(アローラ),Alolan Graveler,いわ,でんき,じりょく,がんじょう,エレキスキン,55,95,115,45,45,35,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/075-a.png
76.1,76,ゴローニャ,Golem,いわ,じめん,いしあたま,がんじょう,すながくれ,80,120,130,55,65,45,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/076.png
76.2,76,ゴローニャ(アローラ),Alolan Golem,いわ,でんき,じりょく,がんじょう,エレキスキン,80,120,130,55,65,45,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/076-a.png
77.1,77,ポニータ,Ponyta,ほのお,なし,にげあし,もらいび,ほのおのからだ,50,85,55,65,65,90,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/077.png
77.2,77,ポニータ(ガラル),Galarian Ponyta,エスパー,なし,にげあし,パステルベール,きけんよち,50,85,55,65,65,90,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/077-g.png
78.1,78,ギャロップ,Rapidash,ほのお,なし,にげあし,もらいび,ほのおのからだ,65,100,70,80,80,105,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/078.png
78.2,78,ギャロップ(ガラル),Galarian Rapidash,エスパー,フェアリー,にげあし,パステルベール,きけんよち,65,100,70,80,80,105,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/078-g.png
79.1,79,ヤドン,Slowpoke,みず,エスパー,どんかん,マイペース,さいせいりょく,90,65,65,40,40,15,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/079.png
79.2,79,ヤドン(ガラル),Galarian Slowpoke,エスパー,なし,くいしんぼう,マイペース,さいせいりょく,90,65,65,40,40,15,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/079-g.png
80.1,80,ヤドラン,Slowbro,みず,エスパー,どんかん,マイペース,さいせいりょく,95,75,110,100,80,30,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/080.png
80.2,80,メガヤドラン,Mega Evolution Slowbro,みず,エスパー,シェルアーマー,なし,なし,95,75,180,130,80,30,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/080-m.png
80.3,80,ヤドラン(ガラル),Galarian Slowbro,どく,エスパー,クイックドロウ,マイペース,さいせいりょく,95,100,95,100,70,30,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/080-g.png
81.1,81,コイル,Magnemite,でんき,はがね,じりょく,がんじょう,アナライズ,25,35,70,95,55,45,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/081.png
82.1,82,レアコイル,Magneton,でんき,はがね,じりょく,がんじょう,アナライズ,50,60,95,120,70,70,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/082.png
83.1,83,カモネギ,Farfetch'd,ノーマル,ひこう,するどいめ,せいしんりょく,まけんき,52,90,55,58,62,60,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/083.png
83.2,83,カモネギ(ガラル),Galarian Farfetch'd,かくとう,なし,ふくつのこころ,きもったま,なし,52,95,55,58,62,55,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/04/083-g.png
84.1,84,ドードー,Doduo,ノーマル,ひこう,にげあし,はやおき,ちどりあし,35,85,45,35,35,75,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/084.png
85.1,85,ドードリオ,Dodrio,ノーマル,ひこう,にげあし,はやおき,ちどりあし,60,110,70,60,60,110,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/085.png
86.1,86,パウワウ,Seel,みず,なし,あついしぼう,うるおいボディ,アイスボディ,65,45,55,45,70,45,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/086.png
87.1,87,ジュゴン,Dewgong,みず,こおり,あついしぼう,うるおいボディ,アイスボディ,90,70,80,70,95,70,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/087.png
88.1,88,ベトベター,Grimer,どく,なし,あくしゅう,ねんちゃく,どくしゅ,80,80,50,40,50,25,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/088.png
88.2,88,ベトベター(アローラ),Alolan Grimer,どく,あく,どくしゅ,くいしんぼう,かがくのちから,80,80,50,40,50,25,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/088-a.png
89.1,89,ベトベトン,Muk,どく,なし,あくしゅう,ねんちゃく,どくしゅ,105,105,75,65,100,50,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/089.png
89.2,89,ベトベトン(アローラ),Alolan Muk,どく,あく,どくしゅ,くいしんぼう,かがくのちから,105,105,75,65,100,50,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/089-a.png
90.1,90,シェルダー,Shellder,みず,なし,シェルアーマー,スキルリンク,ぼうじん,30,65,100,45,25,40,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/090.png
91.1,91,パルシェン,Cloyster,みず,こおり,シェルアーマー,スキルリンク,ぼうじん,50,95,180,85,45,70,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/091.png
92.1,92,ゴース,Gastly,ゴースト,どく,ふゆう,なし,なし,30,35,30,100,35,80,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/092.png
93.1,93,ゴースト,Haunter,ゴースト,どく,ふゆう,なし,なし,45,50,45,115,55,95,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/093.png
94.1,94,ゲンガー,Gengar,ゴースト,どく,のろわれボディ,なし,なし,60,65,60,130,75,110,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/094.png
94.2,94,メガゲンガー,Mega Gengar,ゴースト,どく,かげふみ,なし,なし,60,65,80,170,95,130,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/05/094-m.png
95.1,95,イワーク,Onix,いわ,じめん,いしあたま,がんじょう,くだけるよろい,35,45,160,30,45,70,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/095.png
96.1,96,スリープ,Drowzee,エスパー,なし,ふみん,よちむ,せいしんりょく,60,48,45,43,90,42,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/096.png
97.1,97,スリーパー,Hypno,エスパー,なし,ふみん,よちむ,せいしんりょく,85,73,70,73,115,67,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/097.png
98.1,98,クラブ,Krabby,みず,なし,かいりきバサミ,シェルアーマー,ちからずく,30,105,90,25,25,50,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/098.png
99.1,99,キングラー,Kingler,みず,なし,かいりきバサミ,シェルアーマー,ちからずく,55,130,115,50,50,75,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/099.png
100.1,100,ビリリダマ,Voltorb,でんき,なし,ぼうおん,せいでんき,ゆうばく,40,30,50,55,55,100,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/100.png
100.2,100,ビリリダマ(ヒスイ),Hisuian Voltorb,でんき,くさ,ぼうおん,せいでんき,ゆうばく,40,30,50,55,55,100,https://pokemon-irasuto-taizen.com/wp-content/uploads/2022/01/100-h.png
101.1,101,マルマイン,Electrode,でんき,なし,ぼうおん,せいでんき,ゆうばく,60,50,70,80,80,150,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/101.png
101.2,101,マルマイン(ヒスイ),Hisuian Electrode,でんき,くさ,ぼうおん,せいでんき,ゆうばく,60,50,70,80,80,150,https://pokemon-irasuto-taizen.com/wp-content/uploads/2022/01/101-h.png
102.1,102,タマタマ,Exeggcute,くさ,エスパー,ようりょくそ,しゅうかく,なし,60,40,80,60,45,40,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/102.png
103.1,103,ナッシー,Exeggutor,くさ,エスパー,ようりょくそ,しゅうかく,なし,95,95,85,125,75,55,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/103.png
103.2,103,ナッシー(アローラ),Alolan Exeggutor,くさ,ドラゴン,おみとおし,しゅうかく,なし,95,105,85,125,75,45,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/04/103-a.png
104.1,104,カラカラ,Cubone,じめん,なし,いしあたま,ひらいしん,カブトアーマー,50,50,95,40,50,35,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/104.png
105.1,105,ガラガラ,Marowak,じめん,なし,いしあたま,ひらいしん,カブトアーマー,60,80,110,50,80,45,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/105.png
105.2,105,ガラガラ(アローラ),Alolan Marowak,ほのお,ゴースト,のろわれボディ,ひらいしん,いしあたま,60,80,110,50,80,45,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/105-a.png
106.1,106,サワムラー,Hitmonlee,かくとう,なし,じゅうなん,すてみ,かるわざ,50,120,53,35,110,87,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/106.png
107.1,107,エビワラー,Hitmonchan,かくとう,なし,するどいめ,てつのこぶし,せいしんりょく,50,105,79,35,110,76,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/107.png
108.1,108,ベロリンガ,Lickitung,ノーマル,なし,マイペース,どんかん,ノーてんき,90,55,75,60,75,30,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/108.png
109.1,109,ドガース,Koffing,どく,なし,ふゆう,かがくへんかガス,あくしゅう,40,65,95,60,45,35,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/109.png
110.1,110,マタドガス,Weezing,どく,なし,ふゆう,かがくへんかガス,あくしゅう,65,90,120,85,70,60,https://pokemon-irasuto-taizen.com/wp-content/uploads/2021/03/110.png
